"US Chief Financial Officers at PUBLIC COMPANIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Grade","Joel","Joel Todd Grade","IQ206439602","1971","47","Male","American","Sysco","54","Public Company","Consumer","  55,371.1 ","  34,529.1 ","  65,000 ","www.sysco.com","Executive Vice President/Chief Financial Officer","","Yes","1-Sep-15","1-Jan-02","  2.9 ","  16.6 ","Internal","Senior Vice President/Chief Accounting Officer","Other","PERFORMANCE FOOD GROUP INC","Consumer","Public","Director - Finance","Other","16","2","4","3","None","5","None","None","None","3","None","None","3","None","None","None","None","None","None","None","","1","None","None","20","None","None","US","21","None","None","None","None","None","None","None","None","None","University of Wisconsin-Madison ","Business Administration","1993","Yes","Kellogg School of Management, Northwestern University","2007","No","NA"
"","Graf","Alan","Alan B Graf Jr","IQ223277","1954","64","Male","American","FedEx","50","Public Company","Industrial and Natural Resources ","  65,450.0 ","  65,438.8 ","  357,000 ","www.fedex.com","Executive Vice President/Chief Financial Officer","","Yes","1-Dec-91","1-Jan-80","  26.7 ","  38.6 ","Internal","Vice President/Treasurer","Treasury","NA","NA","NA","NA","Treasury","31","27","None","None","1","None","None","None","2","None","4","None","31","None","None","None","None","None","None","None","","None","None","None","38","None","None","US","38","None","None","None","None","None","None","None","None","None","Indiana University, Kelley School of Business  ","Business Administration","1975","Yes","Indiana University, Kelley School of Business ","1977","No","NA"
"","Stonesifer","Tim","Timothy (Tim) C Stonesifer","IQ308652614","1967","51","Male","","Hewlett-Packard Enterprises","107","Public Company","Technology ","  28,871.0 ","  24,580.1 ","  66,000 ","www.hpe.com

www.hpe.com","Executive Vice President/Chief Financial Officer","","No","1-Feb-14","1-Feb-14","  4.5 ","  4.5 ","External","NA","NA","General Motors International Operations (GMIO) Inc","Industrial and Natural Resources ","Private","Chief Financial Officer","CFO/FD","25","3","3","7","None","7","1","None","None","None","None","3","21","None","None","None","None","None","None","None","Technology & Industrial and Natural Resources","None","None","None","24","4","None","US and China","25","None ","None ","None ","None ","None ","None ","3","None ","None","University of Michigan  ","Economics","1989","No","NA","NA","No","NA"
"","Kramer","Kelly","Kelly A Kramer","IQ257267765","1967","51","Female","","Cisco Systems","62","Public Company","Technology ","  48,005.0 ","  206,743.5 ","  72,900 ","www.cisco.com","Executive Vice President/Chief Financial Officer","","No","1-Jan-15","1-Jan-12","  3.6 ","  6.6 ","Internal","Senior Vice President, Corporate Finance","Other","GE Healthcare Co","Healthcare ","Private","Division VP/Chief Financial Officer -  Diagnostic Imaging, Healthcare Systems Business ","Other","Unknown","3","None","None","None","7","5","None","None","3","None","None","13","None","None","3","None","None","None","None","","None","None","6","None","5","None","US and France","29","None","None","None","None","2","None","None","None","None","Purdue University  ","Mathematics","1989","No","NA","NA","No","NA"
"","Lesjak","Cathie","Catherine (Cathie) A Lesjak","IQ5852640","1958","60","Female","American","Hewlett-Packard INC","58","Public Company","Technology ","  52,056.0 ","  36,923.3 ","  49,000 ","www.hp.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Fieler ","Steve ","Steve Fieler ","","Unknown","Unknown","Male","","Hewlett-Packard INC","58","Public Company","Technology ","  52,056.0 ","  36,923.3 ","  49,000 ","www.hp.com","Chief Financial Officer","","No","1-Jul-18","1-Jan-17","  0.1 ","  1.6 ","Internal","Head of Global Treasury","Treasury","Proteus Digital Health Inc ","Healthcare","Public","Chief Financial Officer","CFO/FD","15","None","Unable to calculate","Unable to calculate","4","2","Unable to calculate","2","None","None","1","Unable to calculate","4","None","None","None","None","None","6","None","","None","1","2","3","13","None","US","23","None","None","None","None","None","None","None","None","None","Brown University  ","Economics and International Relations","1995","Yes","Harvard Business School  ","2000","No","NA"
"","Ungerleider","Howard","Howard Ungerleider","IQ127855551","1968","50","Male","","DowDuPont (formerly The Dow Chemical Company)","47","Public Company","Industrial and Natural Resources ","  62,484.0 ","  154,088.5 ","  98,000 ","www.dow-dupont.com","Chief Financial Officer","","Yes","1-Oct-14","1-Jan-90","  3.8 ","  28.6 ","Internal","Executive Vice President ","Non-Finance","NA","NA","NA","NA","NA","10","4","5","None","None","None","None","3","None","None","None","None","4","None","None","None","None","None","None","None","","None","None","None","28","None","None","US","28","None","None","None","None","None","None","None","None","None"," University of Texas  ","Marketing","1990","Yes","University of California","1996","No","NA"
"","Rutherford","Bill","William (Bill) B Rutherford","IQ652606","1963","55","Male","American","HCA Holdings","63","Public Company","Healthcare ","  43,614.0 ","  36,205.6 ","  221,500 ","www.hcahealthcare.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jan-14","1-Jan-86","  4.6 ","  32.6 ","Internal","Chief Operating Officer - Clinical and Physician ","Non-Finance","Unknown","Unknown","Unknown","Unknown","NA","12","4","4","8","None","9","None","None","None","None","4","None","4","None","None","2","None","None","None","None","Healthcare","None","None","32","None","None","None","US","32","None","None ","None ","None ","None ","None ","None ","None ","None","University of Tampa ","Unknown","Unknown","No","NA","NA","No","NA"
"","Waller","Kathy","Kathy N Waller","IQ25036078","1959","59","Female","","Coca-Cola","87","Public Company","Consumer","  35,410.0 ","  184,581.3 ","  61,800 ","www.coca-colacompany.com","Executive Vice President/Chief Financial Officer/Divisional President","","Yes","23-Apr-14","1-Jan-98","  4.3 ","  20.6 ","Internal","Vice President - Finance/Controller","Accounting","MCDONALD'S CORP","Consumer","Public","Marketing Controller","Accounting","35","4","13","5","None","None","None","None","None","1","None","None","None","None","None","None","None","None","None","None","Consumer and Technology","30","None","None","None","4","None","US and Mexico","32","None","2","None","None","None","None","None","None","None"," University of Rochester  ","History","1980","Yes","University of Rochester","1983","No","NA"
"","Fleurant","John","John Thomas Fleurant","IQ116242330","","unknown","Male","","New York Life Insurance","69","Private Company","Healthcare ","  30,322.0 ","0","0","www.newyorklife.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jul-13","23-Nov-10","  5.1 ","  7.7 ","Internal","Senior Vice President/Deputy Chief Financial Officer/Controller ","Other","PRUDENTIAL FINANCIAL INC","Financial Services","Public","Controller  ","Other","23","None","17","None","None","14","Unable to calculate","None","None","1","None","None","6","9","None","None","None","None","None","None","","None","23","None","None","9","None","US","32","None","None","None","None","None","None","None","None","None"," Widener University  ","Accounting","Unknown","No","NA","NA","No","NA"
"","Schwaneke","Jeffrey","Jeffrey A Schwaneke","IQ46562839","1975","43","Male","","Centene","61","Public Company","Healthcare ","  45,807.0 ","  24,569.5 ","  33,700 ","www.centene.com","Executive Vice President/Chief Financial Officer/Treasurer","","Yes","1-Mar-16","7-Jul-08","  2.4 ","  10.1 ","Internal","Senior Vice President/Chief Accounting Officer/Controller","Accounting","Novelis Inc","Industrial and Natural Resources ","Private ","VP/Chief Accounting Officer/Controller","Accounting","18","2","16","2","None","None","None","None","None","None","2","None","2","2","None","None","None","None","None","None","Healthcare, Industrial and Natural Resources,Consumer & Technology","2","None","10","4","2","None","US and UK","18","None","None","None","Unable to calculate","None","None","None","None","None","University of Missouri Columbia ","Accounting","1997","No","NA","NA","No","NA"
"","Kerr","Derek","Derek J Kerr","IQ259710688","1964","54","Male","American","American Airlines","71","Public Company","Industrial and Natural Resources ","  42,207.0 ","  19,389.3 ","  128,600 ","www.aa.com","Executive Vice President/Chief Financial Officer","","No","1-Sep-02","1-Apr-96","  15.9 ","  22.3 ","Internal","Senior Vice President - Financial Planning and Analysis","FP & A","NORTHWEST AIRLINES CORP","Industrial and Natural Resources ","Public","Unknown","Unknown","27","18","10","None","None","None","9","None","None","None","None","None","16","None","None","None","None","None","None","None","","None","None","None","31","None","None","US","31","None","None","None","None","None","None","None","None","None","University of Michigan ","Aerospace, Aeronautical and  Aeronautical Engineering","1986","Yes","University of Michigan  ","1991","No","NA"
"","Thresher","Mark","Mark R Thresher","IQ79722086","1957","61","Male","American","Nationwide","66","Private Company","Financial Services ","  27,502.0 ","0","  34,417 ","www.nationwide.com","Executive Vice President/Chief Financial Officer","","No","1-Nov-02","1-Jun-96","  15.7 ","  22.2 ","Internal","Senior Vice President and Finance","Other","KPMG","Technology","Partnership","Partner  ","Other","33","None","13","None","None","None","None","None","None","2","3","None","10","8","None","None","None","None","None","None","Technology, Financial Services ","None","20","None","None","8","None","US","23","None","None","None","None","None","None","None","None","None","Otterbein University (Formerly known as Otterbein College) ","Arts","1978","No","NA","NA","No","NA"
"","Davis","Robert","Robert M Davis","IQ262486233","1966","52","Male","","Merck","78","Public Company","Healthcare","  40,122.0 ","  162,835.2 ","  69,000 ","www.merck.com","Executive Vice President/Chief Financial Officer","","No","23-Apr-14","23-Apr-14","  4.3 ","  4.3 ","External","NA","NA","BAXTER INTERNATIONAL INC","Healthcare","Public","Corporate Vice President and Division President","Non-finance","22","8","5","5","None","None","None","2","None","None","5","9","10","None","4","None","2","2","None","None","","None","None","28","None","None","1","US","28","None","None","None","None","None","None","None","None","None","Miami University","Finance","1990","Yes","Kellogg School of Management, Northwestern University  ","1993","Juris Doctor and 1998","Northwestern University Pritzker School of Law "
"","Palmer","Eric","Eric P Palmer","IQ554846750","1976","42","Male","","Cigna","73","Public Company","Healthcare ","  41,616.0 ","  42,314.2 ","  46,000 ","www.cigna.com","Executive Vice President/Chief Financial Officer","","Yes","16-Jun-17","1-Jan-98","  1.1 ","  20.6 ","Internal","Senior Vice President/Chief Business Officer ","Non-Finance","US Home Health Care Inc","Healthcare ","Medical","Unknown","Unknown","12","5","None","None","None","4","None","None","None","None","None","None","16","None","None","None","None","None","None","None","","None","None","20","None","None","None","US","20","None","None","None","None","None","None","None","None","None","University of Iowa ","Actuarial Science","Unknown","No","NA","NA","No","NA"
"","Jacobson","Paul","Paul A Jacobson","IQ23501165","1971","47","Male","","Delta Air Lines","75","Public Company","Industrial and Natural Resources ","  41,244.0 ","  36,710.0 ","  86,564 ","www.delta.com","Executive Vice President/Chief Financial Officer","","Yes","1-Mar-12","1-Jan-97","  6.4 ","  21.6 ","Internal","Senior Vice President/Treasurer","Treasury","Amsouth Bank N.A.","Financial Services ","Private ","Profitability Analyst","Unknown","21","6","None","None","None","None","1","None","None","None","8","None","13","None","None","None","None","None","None","None","","None","None","None","22","None","None","US","33","None","None","None","None","None","None","None","None","None","Auburn University ","Science","1994","Yes","Vanderbilt University ","Unknown","No","NA"
"","Barry","Corie","Corie Sue Barry","IQ329518020","1974","44","Female","","Best Buy","72","Public Company","Technology ","  42,151.0 ","  21,006.1 ","  125,000 ","www.bestbuy.com","Chief Financial Officer","","Yes","14-Jun-16","1-Dec-99","  2.1 ","  18.7 ","Internal","Executive Vice President/Chief Strategic Growth Officer","Non-Finance","Deloitte & Touche LLP","Technology","Partnership ","Accountant ","Accounting","20","2","None","None","None","None","None","None","None","2","None","None","4","2","None","None","1","None","None","None","","17","None","None","None","2","None","US","20","None","None","None","None","None","None","None","None","None"," College of Saint Benedict  ","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Szlosek","Tom","Thomas (Tom) A Szlosek","IQ10158804","1963","55","Male","","Honeywell International","77","Public Company","Industrial and Natural Resources ","  40,534.0 ","  110,341.6 ","  131,000 ","www.honeywell.com","Senior Vice President/Chief Financial Officer","","No","7-Apr-14","1-Jun-04","  4.3 ","  14.2 ","Internal","Vice President - Corporate Finance","Other","Price Waterhouse LLP","Technology","Partnership","Unknown","Other","32","4","3","12","None","6","None","1","None","None","1","1","10","11","None","None","None","None","None","None","Industrial and Natural Resources and Technology","None","None","None","22","11","None","US and Hong Kong ","27","None ","None ","None ","None ","None ","None ","6","None ","None","STATE UNIVERSITY OF NEW YORK Geneseo","Accounting","1985","No","NA","NA","No","NA"
"","Creed","Joseph","Joseph (Joe) E Creed","","1975","43","Male","","Caterpillar","65","Public Company","Industrial and Natural Resources ","  45,462.0 ","  87,688.9 ","  98,400 ","www.caterpillar.com","Vice President and Interim Chief Financial Officer","","Yes","4-May-18","1-Jan-97","  0.2 ","  21.6 ","Internal","Vice President - Finance Services Division 
President, Caterpillar Venture Capital","Other","NA","NA","NA","NA","NA","20","None","3","None","None","4","None","None","None","1","None","None","5","None","None","None","None","None","None","None","","None","None","None","20","None","None","US","20","None","None","None","None","None","None","None","None","None","Western Illinois University ","Unknown","Unknown","No","NA","NA","No","NA"
"","Pruzan","Jon","Jonathan (Jon) Pruzan","IQ22273852","1968","50","Male","","Morgan Stanley","67","Public Company","Financial Services ","  37,945.0 ","  90,030.6 ","  57,810 ","www.morganstanley.com","Executive Vice President/Chief Financial Officer","","Yes","1-May-15","1-Jan-94","  3.2 ","  24.6 ","Internal","Managing Director","Other","PaineWebber Inc","Financial Services ","Private","MD","Other","27","3","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Financial Services","None","28","None","None","None","None","US","28","None","None","None","None","None","None","None","None","None"," Tufts University  ","Unknown","1990","No","NA","NA","No","NA"
"","Ward","Betsy","Elizabeth (Betsy) A Ward","IQ39058166","1965","53","Female","","Massachusetts Mutual Life Insurance","93","Private Company","Financial Services ","  26,113.0 ","0","  220 ","www.massmutual.com","Chief Financial Officer","","Yes","1-Jun-16","1-Jan-05","  2.1 ","  13.6 ","Internal","Executive Vice President/Chief Enterprise Risk Officer","Non-Finance","Barings LLC","Financial Services ","Private "," MD/Chief Risk Officer  ","Non-finance","28","None","None","None","None","None","None","None","None","None","None","None","16","None","None","None","None","None","None","None","Financial Services","None","32","None","None","None","None","US","32","None","None","None","None","None","None","None","None","None","University of Rochester","Economics","1986","No","NA","NA","No","NA"
"","Chavez","Marty","Doctor R (Marty) Martin Chavez","IQ12519411","1964","54","Male","American","Goldman Sachs Group","70","Public Company","Financial Services ","  32,073.0 ","  87,642.2 ","  37,300 ","www.goldmansachs.com","Executive Vice President/Chief Financial Officer","","Yes","1-May-17","14-Mar-05","  1.2 ","  13.4 ","Internal","Chief Information Officer ","Non-Finance","Kiodex Inc","Technology","Private","Chairman/Chief Executive Officer ","Non-Finance ","1","1","Unknown","Unknown","Unknown","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","1","None","4","None","Unknown","Unknown","Unknown","Unknown","","None","25","None","None","4","None","US","29","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","No","NA","NA","Masters of Science ,1986","Harvard University  "
"","Long","Tom","Thomas (Tom) E Long","IQ325016580","1956","62","Male","","Energy Transfer Equity","64","Public Company","Industrial and Natural Resources ","  40,523.0 ","  18,460.9 ","  29,486 ","www.energytransfer.com","Group Chief Financial Officer","","No","1-Dec-10","1-Dec-10","  7.7 ","  7.7 ","External","NA","NA","Regency GP LLC","Industrial and Natural Resources ","Public","Executive Vice President/Chief Financial Officer","CFO/FD","39","13","3","None","None","None","None","7","None","None","7","None","18","None","None","None","None","None","None","None","","None","None","None","39","None","None","US","29","None ","None ","None ","None ","None ","None ","None ","None ","None","Lamar University ","Accounting","1979","No","NA","NA","No","NA"
"","Wilson","Gina","Virginia (Gina) M Wilson","IQ112266827","1955","63","Female","American","TIAA","84","Trade Association","Healthcare ","  30,639.7 ","0","  2,082 ","www.tiaa-cref.org","Senior Executive Vice President/Chief Financial Officer","","No","20-Jul-10","20-Jul-10","  8.0 ","  8.0 ","External","NA","NA","WYNDHAM WORLDWIDE CORP","Consumer","Public"," Executive Vice President/Chief Financial Officer  ","CFO/FD","42","4","26","29","None","None","None","None","3","None","None","None","None","19","None","None","None","None","None","None","Consumer, Financial Services and Technology","3","20","None","None","9","None","US","42","None ","None ","None ","None ","None ","None ","None ","None ","None","University of Illinois, Urbana-Champaign ","Accounting","1976","No","NA","NA","Master of Advanced Studies, 1976","University of Illinois, Urbana-Champaign "
"","Catz","Safra","Safra Ada Catz ","IQ505785","1962","56","Male","","Oracle","82","Public Company","Technology ","  39,831.0 ","  188,186.5 ","  138,000 ","www.oracle.com","Co-Chief Executive Officer /Principal Executive and Financial Officer","","No","25-Apr-11","1-Apr-99","  7.3 ","  19.3 ","Internal","Co-President and Executive Director","Non-Finance","DONALDSON LUFKIN & JENRETTE INC","Financial Services","Public ","  MD  ","Non-finance","17","9","None","None","2","None","None","None","None","None","None","None","4","None","3","None","None","13","None","None","","None","5","None","None","19","None","US","31","None","None","None","None","None","None","None","None","None","University of Pennsylvania","Science ","1983","No","NA","NA","No ","NA"
"","Glendinning","Stewart","Stewart Fraser Glendinning","IQ190677","1966","52","Male","British","Tyson Foods","80","Public Company","Consumer","  38,260.0 ","  25,104.2 ","  122,000 ","www.tyson.com","Executive Vice President/Chief Financial Officer","","No","11-Dec-17","11-Dec-17","  0.6 ","  0.6 ","External","NA","NA","MOLSON COORS BREWING CO","Consumer","Public","Division President/Division Chief Executive Officer ","Non-finance","32","4","9","9","None","None","None","None","4","None","None","4","7","Unable to Calculate","5","None","None","None","None","None","Consumer and Technology","13","None","None","None","8","None","US and UK","27","None","None","None","8","None","None","None","None","None","College of William and Mary","Business Administration","Unknown","No","NA","NA","Juris Doctor","University of Miami "
"","Laderman","Gerald ","Gerald (Gerry) Laderman","","1957","61","Male","","United Continental Holdings","81","Public Company","Industrial and Natural Resources ","  37,736.0 ","  19,630.2 ","  90,800 ","www.united.com","Senior Vice President and Acting Chief Financial Officer","","No","16-May-18","1-Dec-88","  0.2 ","  29.7 ","Internal","Senior Vice President and Treasurer","Treasury","Hughes Hubbard & Reed LLP","Technology","Partnership   ","Unknown","Unknown","20","1","None","None","None","None","None","None","None","6","7","None","3","None","None","None","None","None","None","None","","None","None","None","30","6","None","US","36","None","None","None","None","None","None","None","None","None","Dartmouth College","Social Science and Maths ","1979","No","NA","NA","Juris Doctor and 1982","University of Michigan Law School"
"","Rizzo","Mario","Mario Rizzo","IQ549029498","1966","52","Male","","Allstate","79","Public Company","Financial Services ","  38,524.0 ","  33,081.1 ","  42,680 ","www.allstate.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jun-14","1-Feb-03","  4.2 ","  15.5 ","Internal","Senior Vice President and Chief Financial Officer - Allstate Personal Lines","Divisional CFO","Unknown","Unknown","Unknown","Unknown","Unknown","15","4","None","None","None","4","3","None","None","7","10","None","4","None","None","None","None","None","None","None","Financial Services","None","14","None","None","None","None","US","14","None","None","None","None","None","None","None","None","None","University of Michigan ","NA","1988","Yes","University of Chicago Booth Scool of Business ","1993","No","NA"
"","Phillips","David","David P Phillips","IQ201175","1960","58","Male","American","Publix Super Markets","88","Private Company","Consumer","  34,558.3 ","0","  193,000 ","www.publix.com","Executive Vice President/Chief Financial Officer/Treasurer","","Yes","1-Jul-99","1-Jan-84","  19.1 ","  34.6 ","Internal","Vice President/Treasurer ","Treasury","NA","NA","NA","NA","NA","33","None","19","6","None","None","None","None","None","None","21","None","None","None","None","None","None","None","None","None","Consumer","34","None","None","None","None","None","US","34","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Campbell","Jeff","Jeffrey (Jeff) C Campbell","IQ253553561","1960","58","Male","American","American Express","86","Public Company","Financial Services ","  30,466.0 ","  85,757.7 ","  55,000 ","www.americanexpress.com","Chief Financial Officer/Executive Vice President, Finance","","No","1-Jun-13","1-Jun-13","  5.2 ","  5.2 ","External","NA","NA","MCKESSON CORP","Healthcare ","Public","Executive Vice President/Chief Financial Officer/Principal Financial Officer ","CFO/FD","15","6","None","None","2","None","None","None","None","1","2","None","15","2","None","None","None","None","None","None","","None","5","10","12","12","None","US and UK","27","None","None","None","None","4","None","None","None","None","Stanford University of California ","Arts","1985","Yes","Harvard University","1990","No","NA"
"","Goldenberg","Scott","Scott Goldenberg","IQ158500051","1953","65","Male","","TJX","85","Public Company","Consumer","  35,864.7 ","  57,081.8 ","  249,000 ","www.tjx.com","Senior Executive Vice President/Chief Financial Officer","","Yes","29-Jan-12","1-Jan-83","  6.5 ","  35.6 ","Internal","Executive Vice President - Finance","Other","NA","NA","NA","NA","NA","35","4","4","None","None","None","None","None","None","3","None","None","16","None","None","None","None","None","None","None","Consumer","35","None","None","None","None","None","US","35","None","None","None","None","None","None","None","None","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"","Campion","Andrew","Andrew Campion","IQ41352673","1972","46","Male","","Nike","89","Public Company","Consumer","  36,397.0 ","  117,738.3 ","  74,400 ","www.nike.com","Executive Vice President/Chief Financial Officer","","Yes","1-Aug-15","1-Jan-07","  3.0 ","  11.6 ","Internal","Senior Vice President/Division Chief Financial Officer ","Divisional CFO","Walt Disney Co ABC (The) Inc","Consumer","Private","Senior Vice President - Corporate Development  ","CD","20","None","11","11","1","None","5","5","11","None","2","2","12","None","None","None","4","None","None","None","","22","None","None","None","None","None","US","22","None","None","None","None","None","None","None","None","None","University of California, Los Angeles (UCLA)  ","Economics","Unknown","Yes","University of California, Los Angeles  ","Unknown","Juris Doctor, 1996","University of San Diego School of Law "
"","Thayer","Jack","Jonathan (Jack) W Thayer","","1971","47","Male","","Exelon","92","Public Company","Industrial and Natural Resources ","  33,531.0 ","  39,658.6 ","  34,621 ","www.exeloncorp.com","Senior Executive Vice President/Chief Transformation Officer","Yes","NA","12-Mar-12","1-Jan-03","  6.4 ","  15.6 ","Internal","Vice President , Treasurer","Treasury","Deutsche Bank Securities Inc","Financial Services","Private","Analyst","Other","22","10","None","None","4","None","None","1","None","None","None","None","9","None","None","None","None","None","None","None","Industrial and Natural Resources, Financial Services ","None","3","None","17","2","1","US, Uganda ","23","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","1","None","Middlebury College ","Unknown","1993","Yes","Harvard University ","1999","No","NA"
"","Nigro","Joseph ","Joseph Nigro","","1971","47","Male","","Exelon","92","Public Company","Industrial and Natural Resources ","  33,531.0 ","  39,658.6 ","  34,621 ","www.exeloncorp.com","Senior Executive Vice President/Chief Financial Officer","","Yes","8-May-18","1-Jan-96","  0.2 ","  22.6 ","Internal","Executive Vice President","Non-finance","Phibro Energy","Industrial and Natural Resources ","Private","Unknown","Non-finance","Unable to calculate","None","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","5","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","None","None","None","30","None","None","US","Unable to Calculate ","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","None","University of Connecticut ","Unknown","Unknown","No","NA","NA","No","NA"
"","Aiken","Jason","Jason W Aiken","IQ99151081","1972","46","Male","","General Dynamics","99","Public Company","Industrial and Natural Resources ","  30,973.0 ","  58,660.0 ","  98,600 ","www.generaldynamics.com","Senior Vice President/Chief Financial Officer","","No","1-Sep-11","1-Jun-02","  6.9 ","  16.2 ","Internal","Vice President","Non-Finance","Arthur Andersen & Co LLP","Technology","Partnership","Manager - Audit ","Non-Finance ","24","4","9","8","None","None","None","None","None","None","None","None","7","8","None","None","None","None","None","None","","None","None","None","16","8","None","US","24","None","None","None","None","None","None","None","None","None","Washington and Lee University","Business Administration, Accounting","1994","Yes","Northwestern University","2009","No","NA"
"","Karst","Darren","Darren W Karst","IQ270477925","1959","59","Male","","Rite Aid","94","Public Company","Consumer","  21,529.0 ","  1,814.4 ","  48,410 ","www.riteaid.com","Senior Executive Vice President/Chief Financial Officer/Chief Administrative Officer","","No","20-Aug-14","20-Aug-14","  3.9 ","  3.9 ","External","NA","NA","ROUNDY'S INC","Consumer","Public","Executive Vice President/Chief Financial Officer/Assistant Secretary ","CFO/FD","36","6","36","22","4","None","None","16","4","None","20","None","23","6","None","None","None","None","16","4","","21","14","None","None","6","None","US","36","None","None","None","None","None","None","None","None","None","University of Kansas  ","Business Administration & Accounting","1982","No","NA","NA","No","NA"
"","Washington","Robin","Robin L Washington","IQ45458697","1962","56","Female","American","Gilead Sciences","116","Public Company","Healthcare","  26,107.0 ","  92,288.7 ","  10,000 ","www.gilead.com","Executive Vice President/Chief Financial Officer","","No","5-May-08","5-May-08","  10.2 ","  10.2 ","External","NA","NA","Pharmasset Inc","Healthcare","Private","Chief Financial Officer/Principal Accounting Officer ","CFO/FD","18","12","13","2","None","None","None","None","None","6","1","None","11","2","None","None","None","None","None","None","Technology, Financial Services and Healthcare ","None","1","10","2","22","None","US","34","None ","None ","None ","None ","None ","None ","None ","None ","None","University of Michigan","Business Administration","1984","Yes","Pepperdine Univerity","1995","No","NA"
"","Skidmore","Tim","Timothy (Tim) Skidmore","IQ244781144","1961","57","Male","","CHS","96","Private Company","Consumer","  31,934.8 ","0","  11,626 ","www.chsinc.com","Executive Vice President/Chief Financial Officer","","Yes","19-Aug-13","19-Aug-13","  4.9 ","  4.9 ","External","NA","NA","CAMPBELL SOUP CO","Consumer","Public","Vice President - FP & Strategy","FP&A","31","5","None","1","None","3","2","None","None","1","7","None","19","None","None","None","None","None","None","None","Consumer, Industrial and Natural Resources ","17","None","None","15","None","None","US and Hong Kong ","32","None ","None ","None ","None ","None ","None ","2","None ","None","University of Georgia","Business Administration","1983","Yes","Widener University ","1992","No","NA"
"","Gangestad","Nick","Nicholas (Nick) C Gangestad","IQ129519739","1964","54","Male","","3M","97","Public Company","Industrial and Natural Resources ","  31,657.0 ","  118,673.8 ","  91,000 ","www.3m.com","Senior Vice President/Chief Financial Officer","","Yes","9-Jun-14","1-Jan-87","  4.1 ","  31.6 ","Internal","Vice President, Chief Accounting Officer and Controller","Accounting","NA","NA","NA","NA","NA","30","4","9","None","None","None","None","None","None","None","None","None","21","None","None","None","None","None","None","None","","None","None","None","30","None","None","US and Canada","19","11","None","None","None","None","None","None","None","None","Augsburg College","Science","1996","Yes","University of Minnesota","2001","No","NA"
"","Averill","Howard","Howard M Averill","IQ253583694","1963","55","Male","Canadian","CAMPBELL SOUP CO  ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","White","Joseph","Joseph W White","IQ37414383","1958","60","Male","","Molina Healthcare","152","Public Company","Healthcare ","  19,445.0 ","  5,715.9 ","  20,000 ","www.molinahealthcare.com","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Winfrey","Chris","Christopher (Chris) L Winfrey","IQ115151660","1975","43","Male","","Charter Communications","74","Public Company","Technology ","  41,581.0 ","  67,461.2 ","  94,800 ","www.charter.com","Executive Vice President/Chief Financial Officer","","Yes","1-Nov-10","1-Nov-10","  7.7 ","  7.7 ","External","NA","NA","Arena Sport Rechte and Marketing GmbH","Consumer","Private","MD","Non-Finance","17","8","None","None","3","None","1","4","None","None","None","None","3","None","None","None","None","None","None","None","Technology","None","None","None","None","20","None","US, Germany, UK, switzerland ","11","None","None","None","2","8","None","None","None","None","University of Florida","Accounting","1996","Yes","University of Florida","1998","No","NA"
"","Carter","Mike","Michael (Mike) Gerard Carter","IQ23108076","1962","56","Male","","Northwestern Mutual","104","Private Company","Healthcare","  28,087.0 ","0","  80 ","www.northwesternmutual.com","Executive Vice President/Chief Financial Officer","","Yes","1-Jun-08","1-Jan-94","  10.2 ","  24.6 ","Internal","Executive Officer, Field Compensation and Planning","Non-Finance","Quarles & Brady LLP","Non - Profit ","Private","Attorney ","Non-Finance","12","None","None","None","2","None","None","None","None","None","None","None","10","None","None","None","None","None","None","None","","None","24","None","None","6","None","US","30","None","None","None","None","None","None","None","None","None","Appalachian State University ","Accounting","1984","No","NA","NA","No","NA"
